Optimization Data
 
Start time: 2026-05-21 15:59:14 
 
Solver Options:
Method: Self-Written-slp_mvp 
# algorithm: merit 
# acc: 0.001 
# xtol: 0.0005 
# gtol: 0.0005 
# finite_diff_abs_step: [0.020207, 0.00761, 0.00030000000000000003, 0.00269, 0.00022999999999999998] 
# maxiter: 5000 
# max_fun_evals: 5000 
# Aggregate: P-norm 
# p_value: 30 
# rho_value: 100 
# relaxation: 0 
# move_limit: 0.3 
# move_limit_expand: 1.5 
# move_limit_shrink: 0.5 
# penalty_weight: 5 
# max_infeasibility: inf 
# use_acs: True 
# util_groups: ['LB', 'NF', 'S', 'T', 'BR', 'IN', 'BS_sig', 'BS_defl'] 
Design Variables and Bounds 
# x0 = [202.07, 76.10, 3.00, 26.90, 2.30]
 x[0] (rad) bounds = [150.0, 350.0] 
 x[1] (d0) bounds = [48.3, 114.3] 
 x[2] (t0) bounds = [2.5, 5.0] 
 x[3] (d1) bounds = [10, 50.0] 
 x[4] (t1) bounds = [1.0, 4.0] 


iteration,eval_index,objective,x0,x1,x2,x3,x4,g_max,v_agg,c_val,seg_mass1,seg_mass2,seg_mass3,seg_mass4,seg_mass5
0, 1, 106.79, 202.07 ,76.10 ,3.00 ,26.90 ,2.30, 0.6576, 0.7436, 1.0000, 21.359,21.326,21.326,21.326,21.785
1, 2, 106.79, 202.09 ,76.10 ,3.00 ,26.90 ,2.30, 0.6575, 0.7435, 0.8844, 21.359,21.327,21.327,21.327,21.785
1, 3, 106.79, 202.07 ,76.11 ,3.00 ,26.90 ,2.30, 0.6575, 0.7435, 0.8844, 21.360,21.328,21.328,21.328,21.786
1, 4, 106.79, 202.07 ,76.10 ,3.00 ,26.90 ,2.30, 0.6575, 0.7435, 0.8844, 21.360,21.327,21.327,21.327,21.786
1, 5, 106.79, 202.07 ,76.10 ,3.00 ,26.90 ,2.30, 0.6576, 0.7435, 0.8844, 21.360,21.327,21.327,21.327,21.786
1, 6, 106.79, 202.07 ,76.10 ,3.00 ,26.90 ,2.30, 0.6576, 0.7436, 0.8844, 21.359,21.327,21.327,21.327,21.785
1, 7, 98.29, 232.07 ,66.20 ,2.83 ,22.66 ,2.75, 0.6971, 0.7866, 0.8844, 19.659,19.632,19.632,19.632,20.007
2, 8, 98.29, 232.09 ,66.20 ,2.83 ,22.66 ,2.75, 0.6970, 0.7866, 0.8862, 19.659,19.633,19.633,19.633,20.008
2, 9, 98.29, 232.07 ,66.21 ,2.83 ,22.66 ,2.75, 0.6970, 0.7865, 0.8862, 19.660,19.633,19.633,19.633,20.008
2, 10, 98.29, 232.07 ,66.20 ,2.83 ,22.66 ,2.75, 0.6970, 0.7866, 0.8862, 19.660,19.633,19.633,19.633,20.008
2, 11, 98.29, 232.07 ,66.20 ,2.83 ,22.66 ,2.75, 0.6971, 0.7866, 0.8862, 19.660,19.633,19.633,19.633,20.008
2, 12, 98.29, 232.07 ,66.20 ,2.83 ,22.66 ,2.75, 0.6971, 0.7866, 0.8862, 19.659,19.633,19.633,19.633,20.008
2, 13, 62.03, 277.07 ,54.86 ,2.50 ,13.66 ,2.08, 1.9708, 1.9708, 1.0000, 12.407,12.387,12.387,12.387,12.661
